Year,County,Hospital,OSHPDID,Surgery,# of Cases,Location 1
2012,,STATEWIDE,,OPENRYGB,304,
2012,,STATEWIDE,,VSG,7032,
2013,,STATEWIDE,,BPD,90,
2013,,STATEWIDE,,LAPBAND,216,
2013,,STATEWIDE,,LAPRYBG,5192,
2013,,STATEWIDE,,OPENRYGB,212,
2013,,STATEWIDE,,VSG,8015,
2014,,STATEWIDE,,BPD,135,
2014,,STATEWIDE,,LAPBAND,113,
2014,,STATEWIDE,,LAPRYBG,4831,
2014,,STATEWIDE,,OPENRYGB,131,
2014,,STATEWIDE,,VSG,9070,
2015,,STATEWIDE,,BPD,183,
2015,,STATEWIDE,,LAPBAND,68,
2015,,STATEWIDE,,LAPRYBG,3593,
2015,,STATEWIDE,,OPENRYGB,70,
2015,,STATEWIDE,,VSG,7130,
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,BPD,,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,LAPBAND,11,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,LAPRYBG,113,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,OPENRYGB,20,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,VSG,,"(37.82106, -122.26257)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,BPD,,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,LAPBAND,,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,LAPRYBG,165,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,OPENRYGB,50,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,VSG,,"(37.55055, -121.97483)"
2005,Alameda,Valley Memorial Hospital,106010983,BPD,,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,LAPBAND,2,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,LAPRYBG,88,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,OPENRYGB,12,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,VSG,,"(37.6787, -121.78252)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,BPD,,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,LAPBAND,,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,LAPRYBG,3,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,OPENRYGB,71,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,VSG,,"(39.74224, -121.84922)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,BPD,3,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,LAPBAND,,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,LAPRYBG,75,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,OPENRYGB,12,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,VSG,6,"(37.98615, -122.03874)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,BPD,,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,LAPBAND,,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,LAPRYBG,245,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,OPENRYGB,29,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,VSG,,"(37.93685, -122.36093)"
2005,Fresno,Clovis Community Medical Center,106100005,BPD,1,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,LAPBAND,9,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,LAPRYBG,726,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,OPENRYGB,13,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,VSG,,"(36.83745, -119.66072)"
2005,Fresno,Fresno Surgical Hospital,106104047,BPD,,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,LAPBAND,,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,LAPRYBG,265,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,OPENRYGB,7,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,VSG,,"(36.82531, -119.78155)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,BPD,,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,LAPBAND,,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,LAPRYBG,,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,OPENRYGB,54,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,VSG,,"(36.84246, -119.7832)"
2005,Fresno,Kingsburg Medical Center,106100745,BPD,,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,LAPBAND,,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,LAPRYBG,,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,OPENRYGB,1,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,VSG,,"(36.51261, -119.54833)"
2005,Fresno,Saint Agnes Medical Center,106100899,BPD,1,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,LAPBAND,1,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,LAPRYBG,345,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,OPENRYGB,162,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,VSG,,"(36.8370782, -119.7649963)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,BPD,,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,LAPBAND,,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,LAPRYBG,9,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,OPENRYGB,,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,VSG,,"(40.7832, -124.14216)"
2005,Kern,Delano Regional Medical Center,106150706,BPD,137,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,LAPBAND,,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,LAPRYBG,1,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,OPENRYGB,,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,VSG,5,"(35.76143, -119.23706)"
2005,Kern,Kern Medical Center,106150736,BPD,,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,LAPBAND,,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,LAPRYBG,,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,OPENRYGB,46,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,VSG,,"(35.380833, -118.967222)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,BPD,,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,LAPBAND,33,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,LAPRYBG,30,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,OPENRYGB,35,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,VSG,1,"(35.37323, -119.02715)"
2005,Kern,San Joaquin Community Hospital,106150788,BPD,,"(35.383064, -119.018775)"
2005,Kern,San Joaquin Community Hospital,106150788,LAPBAND,20,"(35.383064, -119.018775)"
2005,Kern,San Joaquin Community Hospital,106150788,LAPRYBG,42,"(35.383064, -119.018775)"
2005,Kern,San Joaquin Community Hospital,106150788,OPENRYGB,52,"(35.383064, -119.018775)"
2005,Los Angeles,Olympia Medical Center,106190534,LAPRYBG,8,"(34.05754, -118.36008)"
2005,Kern,San Joaquin Community Hospital,106150788,VSG,,"(35.383064, -119.018775)"
2005,Los Angeles,Bellflower Medical Center,106190066,BPD,,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,LAPBAND,1,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,LAPRYBG,21,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,OPENRYGB,20,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,VSG,,"(33.87466, -118.13052)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,BPD,,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,LAPBAND,50,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,LAPRYBG,426,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,OPENRYGB,85,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,VSG,,"(34.07681, -118.38061)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,BPD,,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,LAPBAND,7,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,LAPRYBG,117,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,OPENRYGB,2,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,VSG,,"(33.9672, -118.34406)"
2005,Los Angeles,Coast Plaza Hospital,106190766,BPD,,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,LAPBAND,2,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,LAPRYBG,45,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,OPENRYGB,7,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,VSG,,"(33.91264, -118.09906)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,BPD,,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,LAPBAND,,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,LAPRYBG,10,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,OPENRYGB,2,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,VSG,,"(34.15686, -118.48662)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,BPD,,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,LAPBAND,,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,LAPRYBG,86,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,OPENRYGB,16,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,VSG,,"(33.83352, -118.08169)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,BPD,,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,LAPBAND,,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,LAPRYBG,3,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,OPENRYGB,,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,VSG,,"(34.14951, -118.23109)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,BPD,,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,LAPBAND,3,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,LAPRYBG,22,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,OPENRYGB,,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,VSG,,"(34.09557, -118.29163)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,BPD,,"(34.13565, -118.1518)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,LAPBAND,,"(34.13565, -118.1518)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,LAPRYBG,297,"(34.13565, -118.1518)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,OPENRYGB,3,"(34.13565, -118.1518)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,VSG,,"(34.13565, -118.1518)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,BPD,,"(33.789, -118.29415)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,LAPBAND,,"(33.789, -118.29415)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,LAPRYBG,47,"(33.789, -118.29415)"
2015,Napa,Saint Helena Hospital,106281078,VSG,12,"(38.53937349, -122.473003)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,OPENRYGB,41,"(33.789, -118.29415)"
2005,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,VSG,1,"(33.789, -118.29415)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,BPD,36,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,LAPBAND,23,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,LAPRYBG,263,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,OPENRYGB,66,"(34.06284, -118.20287)"
2005,Los Angeles,Keck Hospital of University of Southern California,106194219,VSG,32,"(34.06284, -118.20287)"
2005,Los Angeles,Lancaster Community Hospital,106190455,BPD,,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,LAPBAND,,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,LAPRYBG,39,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,OPENRYGB,12,"(34.67949, -118.14781)"
2005,Los Angeles,Lancaster Community Hospital,106190455,VSG,,"(34.67949, -118.14781)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,BPD,,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,LAPBAND,,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,LAPRYBG,3,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,OPENRYGB,,"(33.80801, -118.1852)"
2005,Los Angeles,Long Beach Memorial Medical Center,106190525,VSG,,"(33.80801, -118.1852)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,BPD,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,LAPBAND,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,LAPRYBG,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,OPENRYGB,3,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,VSG,,"(33.83149, -118.29332)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,BPD,,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,LAPBAND,,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,LAPRYBG,1,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,OPENRYGB,,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,VSG,1,"(34.05982, -118.21031)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,BPD,,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,LAPBAND,,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,LAPRYBG,4,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,OPENRYGB,24,"(34.03606, -118.30909)"
2005,Los Angeles,Los Angeles Metropolitan Medical Center,106190854,VSG,,"(34.03606, -118.30909)"
2015,Santa Clara,Stanford Hospital,106430905,LAPRYBG,86,"(37.43342, -122.17827)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,BPD,,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,LAPBAND,,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,LAPRYBG,,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,OPENRYGB,3,"(33.89246, -118.29493)"
2005,Los Angeles,Memorial Hospital of Gardena,106190521,VSG,,"(33.89246, -118.29493)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,BPD,,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,LAPBAND,3,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,LAPRYBG,226,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,OPENRYGB,14,"(34.13603, -118.03879)"
2005,Los Angeles,Methodist Hospital of Southern California,106190529,VSG,,"(34.13603, -118.03879)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,BPD,,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,LAPBAND,2,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,LAPRYBG,,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,OPENRYGB,,"(34.0572, -118.36195)"
2005,Los Angeles,Miracle Mile Medical Center,106190681,VSG,,"(34.0572, -118.36195)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,BPD,,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,LAPBAND,,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,LAPRYBG,19,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,OPENRYGB,,"(34.22075, -118.53186)"
2005,Los Angeles,Northridge Hospital Medical Center,106190568,VSG,,"(34.22075, -118.53186)"
2005,Los Angeles,Olympia Medical Center,106190534,BPD,,"(34.05754, -118.36008)"
2005,Los Angeles,Olympia Medical Center,106190534,OPENRYGB,1,"(34.05754, -118.36008)"
2005,Los Angeles,Olympia Medical Center,106190534,VSG,,"(34.05754, -118.36008)"
2005,Los Angeles,PIH Hospital – Downey,106190243,BPD,,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,LAPBAND,1,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,LAPRYBG,,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,OPENRYGB,,"(33.93515, -118.13196)"
2005,Los Angeles,PIH Hospital – Downey,106190243,VSG,,"(33.93515, -118.13196)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,BPD,,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,LAPBAND,1,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,LAPRYBG,4,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,OPENRYGB,,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,VSG,,"(33.73798, -118.30557)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,BPD,,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,LAPBAND,,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,LAPRYBG,56,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,OPENRYGB,54,"(34.1559, -118.32711)"
2005,Los Angeles,Providence Saint Joseph Medical Center,106190758,VSG,,"(34.1559, -118.32711)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,BPD,,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,LAPBAND,,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,LAPRYBG,235,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,OPENRYGB,22,"(34.068889, -118.445)"
2005,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,VSG,1,"(34.068889, -118.445)"
2005,San Diego,Alvarado Hospital,106370652,LAPBAND,11,"(32.77708, -117.05683)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,BPD,,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,LAPBAND,,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,LAPRYBG,20,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,OPENRYGB,9,"(33.7802376, -118.1866412)"
2005,Los Angeles,Saint Mary Medical Center – Long Beach,106190053,VSG,,"(33.7802376, -118.1866412)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,BPD,,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,LAPBAND,2,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,LAPRYBG,66,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,OPENRYGB,24,"(34.02755, -118.48623)"
2005,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,VSG,,"(34.02755, -118.48623)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,BPD,,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,LAPBAND,3,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,LAPRYBG,67,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,OPENRYGB,11,"(34.06879, -118.26324)"
2005,Los Angeles,Silver Lake Medical Center – Downtown Campus,106190661,VSG,,"(34.06879, -118.26324)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,BPD,,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,LAPBAND,,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,LAPRYBG,48,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,OPENRYGB,7,"(34.02328, -118.39724)"
2005,Los Angeles,Southern California Hospital At Culver City,106190110,VSG,,"(34.02328, -118.39724)"
2005,Los Angeles,Temple Community Hospital,106190784,BPD,,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,LAPBAND,1,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,LAPRYBG,31,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,OPENRYGB,67,"(34.07534, -118.28366)"
2005,Los Angeles,Temple Community Hospital,106190784,VSG,1,"(34.07534, -118.28366)"
2005,Los Angeles,Torrance Memorial Medical Center,106190422,BPD,,"(33.81258, -118.34388)"
